id,SKU,Title,Content,Product Type,parent_id,Product Categories,Colors,brand,ink attributes,paper,nib size,Image URL
13,,Aurora Black,"<a href=""http://www.fp-ink.info/en/details/316.ink""><img src=""http://www.fp-ink.info/colorcard/316.png""></a>",simple,0,inks,black,Aurora,Water resistant,Neenah NEUTECH PS,Medium,http://theinkcyclopedia.com/wp-content/uploads/2016/03/aurorablackimg.jpg|http://theinkcyclopedia.com/wp-content/uploads/2016/03/aurorablack.jpg
16,,Caran d'Ache Caribbean Sea,"<a href=""http://www.fp-ink.info/en/details/935.ink""><img src=""http://www.fp-ink.info/colorcard/935.png""></a>",simple,0,inks,turquoise,Caran d'Ache,Shading,Neenah NEUTECH PS,Medium,http://theinkcyclopedia.com/wp-content/uploads/2016/03/carandachecarribeanseaswatch.jpg|http://theinkcyclopedia.com/wp-content/uploads/2016/03/carandachecarribeansea.jpg
19,,Caran d'Ache Divine Pink,"<a href=""http://www.fp-ink.info/en/details/319.ink""><img src=""http://www.fp-ink.info/colorcard/319.png""></a>",simple,0,inks,pink,Caran d'Ache,,,Fine,http://theinkcyclopedia.com/wp-content/uploads/2016/03/carancachedivinepinkswatch.jpg|http://theinkcyclopedia.com/wp-content/uploads/2016/03/carancachedivinepink.jpg
